,Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
0,2018-01-01,Monday,tokyo,02:00:00,07:59:59,13203.0,13570.35,367.35000000000036,0.0278232219950012,4138.761619999999
1,2018-01-01,Monday,london,08:00:00,14:29:59,13569.98,12927.0,-642.9799999999996,-0.04738253114595592,4554.7295030000005
2,2018-01-01,Monday,new_york,14:30:00,20:59:59,12927.01,13399.24,472.22999999999956,0.036530489262404764,3900.058195
3,2018-01-02,Tuesday,tokyo,02:00:00,07:59:59,13611.93,13343.0,-268.9300000000003,-0.019756933807329347,4839.520288000001
4,2018-01-02,Tuesday,london,08:00:00,14:29:59,13343.01,13760.0,416.9899999999998,0.03125156917367211,5630.405615
5,2018-01-02,Tuesday,new_york,14:30:00,20:59:59,13760.0,14751.0,991.0,0.07202034883720931,5130.788142
6,2018-01-03,Wednesday,tokyo,02:00:00,07:59:59,14847.97,15170.0,322.03000000000065,0.02168848670895751,4565.643388
7,2018-01-03,Wednesday,london,08:00:00,14:29:59,15170.0,14957.02,-212.97999999999956,-0.014039551746868772,4671.591247
8,2018-01-03,Wednesday,new_york,14:30:00,20:59:59,14958.89,14926.01,-32.8799999999992,-0.002198024051249692,5108.215094
9,2018-01-04,Thursday,tokyo,02:00:00,07:59:59,15175.0,14748.0,-427.0,-0.028138385502471164,5805.810820000001
10,2018-01-04,Thursday,london,08:00:00,14:29:59,14734.07,14451.86,-282.2099999999991,-0.019153567208517353,5878.865665
11,2018-01-04,Thursday,new_york,14:30:00,20:59:59,14451.85,14799.02,347.1700000000001,0.02402252998751031,4986.643456000001
12,2018-01-05,Friday,tokyo,02:00:00,07:59:59,15038.04,14920.14,-117.90000000000146,-0.007840117462116214,4949.477440000001
13,2018-01-05,Friday,london,08:00:00,14:29:59,14916.95,16145.89,1228.9399999999987,0.08238547424238862,4795.942916000001
14,2018-01-05,Friday,new_york,14:30:00,20:59:59,16145.89,16668.36,522.4700000000012,0.03235931868729458,4254.207062
15,2018-01-06,Saturday,tokyo,02:00:00,07:59:59,17025.03,16518.0,-507.02999999999884,-0.029781445319039035,4491.583253
16,2018-01-06,Saturday,london,08:00:00,14:29:59,16500.18,16369.8,-130.38000000000102,-0.007901731981105775,6624.684743
17,2018-01-06,Saturday,new_york,14:30:00,20:59:59,16369.8,16784.0,414.2000000000007,0.025302691541741584,4126.545942
18,2018-01-07,Sunday,tokyo,02:00:00,07:59:59,16951.02,16746.99,-204.02999999999884,-0.012036443824619325,3854.458489
19,2018-01-07,Sunday,london,08:00:00,14:29:59,16747.0,16560.0,-187.0,-0.011166179017137345,4586.447361
20,2018-01-07,Sunday,new_york,14:30:00,20:59:59,16560.0,16145.01,-414.9899999999998,-0.02505978260869568,4725.841560999999
21,2018-01-08,Monday,tokyo,02:00:00,07:59:59,15850.08,15865.0,14.920000000000073,0.0009413201699928209,4784.470817
22,2018-01-08,Monday,london,08:00:00,14:29:59,15864.99,14448.98,-1416.0100000000002,-0.08925375937835445,5046.85428
23,2018-01-08,Monday,new_york,14:30:00,20:59:59,14448.93,14899.7,450.77000000000044,0.031197465833110227,5428.294926
24,2018-01-09,Tuesday,tokyo,02:00:00,07:59:59,15242.34,15062.28,-180.0599999999995,-0.011813146800294438,6520.402402
25,2018-01-09,Tuesday,london,08:00:00,14:29:59,15062.28,14349.0,-713.2800000000007,-0.04735538046032872,5946.503948
26,2018-01-09,Tuesday,new_york,14:30:00,20:59:59,14369.98,14755.03,385.0500000000011,0.02679544439171111,5302.057503999999
27,2018-01-10,Wednesday,tokyo,02:00:00,07:59:59,14120.0,13979.0,-141.0,-0.009985835694050982,6060.023418999999
28,2018-01-10,Wednesday,london,08:00:00,14:29:59,13978.95,13786.19,-192.76000000000022,-0.013789304633037514,7565.906473999999
29,2018-01-10,Wednesday,new_york,14:30:00,20:59:59,13786.19,14480.16,693.9699999999993,0.050338055691964145,5538.546732999999
30,2018-01-11,Thursday,tokyo,02:00:00,07:59:59,14377.94,13530.42,-847.5200000000004,-0.05894585733422175,4083.069537
31,2018-01-11,Thursday,london,08:00:00,14:29:59,13530.42,13760.0,229.57999999999993,0.01696769205981785,5052.550875999999
32,2018-01-11,Thursday,new_york,14:30:00,20:59:59,13773.0,13400.0,-373.0,-0.027081971974152297,4626.609103
33,2018-01-12,Friday,tokyo,02:00:00,07:59:59,13392.56,13722.04,329.4800000000014,0.024601719163475977,3963.943367
34,2018-01-12,Friday,london,08:00:00,14:29:59,13722.04,13700.0,-22.040000000000873,-0.0016061751751198505,3589.4241470000006
35,2018-01-12,Friday,new_york,14:30:00,20:59:59,13700.05,13899.98,199.9300000000003,0.01459337739643285,3519.5415570000005
36,2018-01-13,Saturday,tokyo,02:00:00,07:59:59,14184.97,14255.09,70.1200000000008,0.004943260366430113,3033.5494370000006
37,2018-01-13,Saturday,london,08:00:00,14:29:59,14250.0,14279.86,29.860000000000582,0.002095438596491306,3698.6519420000004
38,2018-01-13,Saturday,new_york,14:30:00,20:59:59,14279.86,14143.0,-136.86000000000058,-0.009584127575480439,4325.838039
39,2018-01-14,Sunday,tokyo,02:00:00,07:59:59,14300.2,13590.0,-710.2000000000007,-0.049663641067957176,6238.759325999999
40,2018-01-14,Sunday,london,08:00:00,14:29:59,13590.0,13289.59,-300.40999999999985,-0.022105224429727732,6873.592433000001
