,Date,Week_day,Open,Close,Change
101,2022-04-12,Tuesday,40183.97,40025.48,-0.00394411005184403
102,2022-04-13,Wednesday,40129.99,41134.58,0.025033397715773287
103,2022-04-14,Thursday,41271.66,39940.03,-0.03226499733715593
104,2022-04-15,Friday,40239.43,40274.73,0.0008772490067578964
105,2022-04-16,Saturday,40393.77,40137.59,-0.006342067105892801
106,2022-04-17,Sunday,40285.15,40430.94,0.00361895140020585
107,2022-04-18,Monday,38919.85,39197.08,0.007123100423048978
108,2022-04-19,Tuesday,40683.13,41489.42,0.01981877992180059
109,2022-04-20,Wednesday,41340.04,41193.53,-0.003544021728087432
110,2022-04-21,Thursday,41855.69,41894.53,0.00092795029779702
111,2022-04-22,Friday,40709.6,39461.4,-0.030661072572562675
112,2022-04-23,Saturday,39600.98,39880.34,0.007054370876680149
113,2022-04-24,Sunday,39751.38,39585.06,-0.004184005687349668
114,2022-04-25,Monday,38453.92,39350.84,0.02332454012490781
115,2022-04-26,Tuesday,40584.5,38751.02,-0.045176853232145375
116,2022-04-27,Wednesday,39113.06,39278.52,0.004230300569681766
117,2022-04-28,Thursday,39385.01,39702.84,0.008069821487921347
118,2022-04-29,Friday,39610.14,38974.76,-0.016040842067208017
119,2022-04-30,Saturday,38650.35,38561.28,-0.0023045069449565414
120,2022-05-01,Sunday,37970.27,38564.13,0.015640131081501307
121,2022-05-02,Monday,38881.46,38791.97,-0.0023016111020521812
122,2022-05-03,Tuesday,38559.99,38161.82,-0.010325988155079902
123,2022-05-04,Wednesday,38701.32,39316.87,0.01590514225354589
124,2022-05-05,Thursday,39588.85,37133.02,-0.06203337555902744
125,2022-05-06,Friday,36371.94,36106.0,-0.007311680377785845
126,2022-05-07,Saturday,35921.6,35958.0,0.0010133178922988595
127,2022-05-08,Sunday,34596.55,34414.98,-0.005248211165564176
128,2022-05-09,Monday,33523.27,32303.66,-0.036380997438495655
129,2022-05-10,Tuesday,31609.79,31157.87,-0.014296836518053468
130,2022-05-11,Wednesday,30614.99,30619.96,0.0001623387758740158
131,2022-05-12,Thursday,28193.4,29605.54,0.05008760915675303
132,2022-05-13,Friday,30171.13,30238.39,0.0022292834242534365
133,2022-05-14,Saturday,29431.58,28980.94,-0.015311444373696692
134,2022-05-15,Sunday,29826.0,30106.2,0.009394488030577408
135,2022-05-16,Monday,29593.89,29436.72,-0.005310893566205621
136,2022-05-17,Tuesday,30412.05,30023.93,-0.012762046622966872
137,2022-05-18,Wednesday,29910.25,28987.01,-0.030867010472998446
138,2022-05-19,Thursday,29192.13,30271.4,0.036971265885702875
