,Date,market,Week_day,start,Finish,Open,Close,Change
0,2022-01-01,tokyo,Saturday,02:00:00,07:59:59,46778.14,47194.73,0.008905655504900523
1,2022-01-01,london,Saturday,08:00:00,14:29:59,47194.73,47024.1,-0.0036154460466243377
2,2022-01-01,new_york,Saturday,14:30:00,20:59:59,47024.11,47391.82,0.007819605729911805
3,2022-01-02,tokyo,Sunday,02:00:00,07:59:59,47377.97,47173.45,-0.004316774230723741
4,2022-01-02,london,Sunday,08:00:00,14:29:59,47173.44,47056.24,-0.002484448876316936
5,2022-01-02,new_york,Sunday,14:30:00,20:59:59,47056.24,47007.14,-0.0010434322844323773
6,2022-01-03,tokyo,Monday,02:00:00,07:59:59,47116.22,47051.37,-0.0013763837591385109
7,2022-01-03,london,Monday,08:00:00,14:29:59,47051.36,47083.72,0.0006877590785898668
8,2022-01-03,new_york,Monday,14:30:00,20:59:59,47083.72,45922.0,-0.02467349648668371
9,2022-01-04,tokyo,Tuesday,02:00:00,07:59:59,46054.99,46550.0,0.010748238138798882
10,2022-01-04,london,Tuesday,08:00:00,14:29:59,46549.99,46905.54,0.007638025271326621
11,2022-01-04,new_york,Tuesday,14:30:00,20:59:59,46905.53,46264.92,-0.013657451477469773
12,2022-01-05,tokyo,Wednesday,02:00:00,07:59:59,46111.5,46407.51,0.006419439836049534
13,2022-01-05,london,Wednesday,08:00:00,14:29:59,46407.5,46402.91,-9.890642676280148e-05
14,2022-01-05,new_york,Wednesday,14:30:00,20:59:59,46402.91,43967.01,-0.05249455260456726
15,2022-01-06,tokyo,Thursday,02:00:00,07:59:59,43542.69,43245.25,-0.006830997349957069
16,2022-01-06,london,Thursday,08:00:00,14:29:59,43245.26,42882.96,-0.008377796780502766
17,2022-01-06,new_york,Thursday,14:30:00,20:59:59,42882.96,43221.5,0.007894511013232242
18,2022-01-07,tokyo,Friday,02:00:00,07:59:59,43008.9,41706.71,-0.030277221691324407
19,2022-01-07,london,Friday,08:00:00,14:29:59,41706.71,41857.99,0.003627234082956843
20,2022-01-07,new_york,Friday,14:30:00,20:59:59,41857.99,41922.2,0.0015339962573452937
21,2022-01-08,tokyo,Saturday,02:00:00,07:59:59,41883.42,41913.58,0.0007200940133351708
22,2022-01-08,london,Saturday,08:00:00,14:29:59,41913.59,41886.75,-0.000640365093994455
23,2022-01-08,new_york,Saturday,14:30:00,20:59:59,41886.76,40975.37,-0.02175842676779005
24,2022-01-09,tokyo,Sunday,02:00:00,07:59:59,41809.66,41791.51,-0.0004341102032401345
25,2022-01-09,london,Sunday,08:00:00,14:29:59,41791.5,41595.22,-0.004696648840075146
26,2022-01-09,new_york,Sunday,14:30:00,20:59:59,41595.22,42439.38,0.020294639624456767
27,2022-01-10,tokyo,Monday,02:00:00,07:59:59,41815.32,42042.38,0.005430067257646165
28,2022-01-10,london,Monday,08:00:00,14:29:59,42042.38,39903.03,-0.05088555880994361
29,2022-01-10,new_york,Monday,14:30:00,20:59:59,39900.28,41714.72,0.04547436759842283
30,2022-01-11,tokyo,Tuesday,02:00:00,07:59:59,41928.82,42211.05,0.006731169634633272
31,2022-01-11,london,Tuesday,08:00:00,14:29:59,42212.21,41369.61,-0.01996104918458419
32,2022-01-11,new_york,Tuesday,14:30:00,20:59:59,41369.62,42800.38,0.03458479918355528
33,2022-01-12,tokyo,Wednesday,02:00:00,07:59:59,42626.04,42561.67,-0.0015101097826587528
34,2022-01-12,london,Wednesday,08:00:00,14:29:59,42561.66,43798.34,0.02905619752613009
35,2022-01-12,new_york,Wednesday,14:30:00,20:59:59,43799.46,43819.17,0.00045000554801366555
36,2022-01-13,tokyo,Thursday,02:00:00,07:59:59,43548.58,43699.99,0.003476806821255618
