,Date,Week_day,Open,Close,Change
45,2022-02-15,Tuesday,44253.37,44140.76,-0.0025446649599792925
46,2022-02-16,Wednesday,43642.83,44093.62,0.010329073527083343
47,2022-02-17,Thursday,42159.51,40882.85,-0.03028166124321663
48,2022-02-18,Friday,40363.61,40025.79,-0.008369419880927431
49,2022-02-19,Saturday,39872.98,40061.87,0.004737293274793997
50,2022-02-20,Sunday,38185.99,38317.72,0.00344969450837862
51,2022-02-21,Monday,38596.5,38249.99,-0.00897775705050985
52,2022-02-22,Tuesday,37520.39,37908.98,0.010356768679643302
53,2022-02-23,Wednesday,38910.0,37677.98,-0.03166332562323304
54,2022-02-24,Thursday,35300.26,38418.97,0.08834807449010285
55,2022-02-25,Friday,39251.59,39109.06,-0.0036311904817103446
56,2022-02-26,Saturday,39124.44,39322.55,0.005063586852616986
57,2022-02-27,Sunday,38910.36,37966.6,-0.024254722906701498
58,2022-02-28,Monday,38992.97,41908.07,0.07475962974864436
59,2022-03-01,Tuesday,44435.86,44084.63,-0.007904201696557811
60,2022-03-02,Wednesday,43730.0,43803.31,0.0016764235078892131
61,2022-03-03,Thursday,43814.33,42030.31,-0.040717728651790464
62,2022-03-04,Friday,41337.54,39469.36,-0.045193303713767174
63,2022-03-05,Saturday,39050.41,39451.91,0.010281582190814431
64,2022-03-06,Sunday,38760.21,38854.99,0.0024452911890828766
65,2022-03-07,Monday,39212.66,37590.01,-0.041380768353893926
66,2022-03-08,Tuesday,38733.28,38512.51,-0.00569974967263287
67,2022-03-09,Wednesday,42121.86,41841.64,-0.006652602710326638
68,2022-03-10,Thursday,39067.56,39612.11,0.013938674439867738
69,2022-03-11,Friday,39411.97,38364.9,-0.02656730937326912
70,2022-03-12,Saturday,39036.25,39128.08,0.002352428832175235
71,2022-03-13,Sunday,38886.02,38683.99,-0.005195440417918751
72,2022-03-14,Monday,38975.6,38723.35,-0.006471997865331147
73,2022-03-15,Tuesday,39030.54,39432.05,0.010287072635940975
