,Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
0,2020-01-01,Wednesday,tokyo,02:00:00,07:59:59,7215.52,7209.83,-5.690000000000509,-0.0007885779541877413,10174.121882000001
1,2020-01-01,Wednesday,london,08:00:00,14:29:59,7209.83,7231.37,21.539999999999964,0.0029875877794622863,10040.347880000001
2,2020-01-01,Wednesday,new_york,14:30:00,20:59:59,7231.32,7236.73,5.4099999999998545,0.0007481345037974041,8373.013143
3,2020-01-02,Thursday,tokyo,02:00:00,07:59:59,7190.99,7110.57,-80.42000000000007,-0.01118343927609411,12026.345062999999
4,2020-01-02,Thursday,london,08:00:00,14:29:59,7110.98,7133.19,22.210000000000036,0.003123338836559908,14850.816695000003
5,2020-01-02,Thursday,new_york,14:30:00,20:59:59,7133.86,6948.49,-185.3699999999999,-0.02598453011413171,9202.962328
6,2020-01-03,Friday,tokyo,02:00:00,07:59:59,6888.26,7203.21,314.9499999999998,0.04572272242917652,11086.147208999999
7,2020-01-03,Friday,london,08:00:00,14:29:59,7202.28,7261.57,59.289999999999964,0.00823211538568347,7939.71537
8,2020-01-03,Friday,new_york,14:30:00,20:59:59,7260.11,7316.99,56.88000000000011,0.007834592037861743,11511.948924
9,2020-01-04,Saturday,tokyo,02:00:00,07:59:59,7308.71,7348.11,39.399999999999636,0.005390828203609033,7488.93469
10,2020-01-04,Saturday,london,08:00:00,14:29:59,7348.04,7311.8,-36.23999999999978,-0.004931927425544713,8943.965885
11,2020-01-04,Saturday,new_york,14:30:00,20:59:59,7311.4,7341.06,29.660000000000764,0.004056678611483511,8793.829721
12,2020-01-05,Sunday,tokyo,02:00:00,07:59:59,7459.91,7463.63,3.7200000000002547,0.0004986655334984214,15932.465122
13,2020-01-05,Sunday,london,08:00:00,14:29:59,7463.64,7441.23,-22.410000000000764,-0.003002556393395306,15215.980057
14,2020-01-05,Sunday,new_york,14:30:00,20:59:59,7441.28,7431.6,-9.679999999999382,-0.0013008514664143433,14590.537707000003
15,2020-01-06,Monday,tokyo,02:00:00,07:59:59,7423.06,7507.91,84.84999999999945,0.011430596007576233,19499.20389
16,2020-01-06,Monday,london,08:00:00,14:29:59,7508.18,7537.66,29.479999999999563,0.003926384290200868,21589.498815999996
17,2020-01-06,Monday,new_york,14:30:00,20:59:59,7537.29,7551.25,13.960000000000036,0.001852124569971414,32704.802540999997
18,2020-01-07,Tuesday,tokyo,02:00:00,07:59:59,7905.67,7883.37,-22.300000000000182,-0.002820760289766744,21275.491909000004
19,2020-01-07,Tuesday,london,08:00:00,14:29:59,7883.11,7875.37,-7.739999999999782,-0.0009818459973284233,21225.329321
20,2020-01-07,Tuesday,new_york,14:30:00,20:59:59,7875.29,8162.66,287.3699999999999,0.036490084809575274,24486.976923
21,2020-01-08,Wednesday,tokyo,02:00:00,07:59:59,8370.93,8297.26,-73.67000000000007,-0.008800694785406127,17308.800644
22,2020-01-08,Wednesday,london,08:00:00,14:29:59,8297.27,8286.57,-10.700000000000728,-0.0012895807898261058,21051.596778
23,2020-01-08,Wednesday,new_york,14:30:00,20:59:59,8286.46,8046.03,-240.42999999999938,-0.02901480246088195,20661.569407
24,2020-01-09,Thursday,tokyo,02:00:00,07:59:59,8004.05,7949.84,-54.210000000000036,-0.006772821259237505,16801.653336
