Date,Week_day,Market,Start,Finish,Open,Close,Change,Change_pct,Volume
2018-01-21,Sunday,new_york,14:30:00,20:59:59,11799.55,11029.96,-769.5900000000001,-0.0652219788042764,10861.651419
2018-01-22,Monday,tokyo,02:00:00,07:59:59,11381.01,11743.97,362.9599999999991,0.0318917213850087,8532.151027
2018-01-22,Monday,london,08:00:00,14:29:59,11745.0,10765.16,-979.84,-0.0834261387824606,9799.787131999998
2018-01-22,Monday,new_york,14:30:00,20:59:59,10750.05,10349.93,-400.119999999999,-0.0372202919986417,9022.493282
2018-01-23,Tuesday,tokyo,02:00:00,07:59:59,10558.2,10250.0,-308.2000000000007,-0.029190581727946,8595.938491
2018-01-23,Tuesday,london,08:00:00,14:29:59,10250.85,10340.0,89.14999999999964,0.0086968397742626,7043.841097
2018-01-23,Tuesday,new_york,14:30:00,20:59:59,10340.0,11100.33,760.3299999999999,0.0735328820116054,6494.908487000001
2018-01-24,Wednesday,tokyo,02:00:00,07:59:59,10557.63,10956.0,398.3700000000008,0.0377329002815973,7005.636536000002
2018-01-24,Wednesday,london,08:00:00,14:29:59,10955.99,11565.0,609.0100000000002,0.0555869437631835,7183.244314
2018-01-24,Wednesday,new_york,14:30:00,20:59:59,11565.0,11190.05,-374.9500000000007,-0.0324210981409425,6175.423332
2018-01-25,Thursday,tokyo,02:00:00,07:59:59,11379.96,11460.0,80.04000000000087,0.0070334166376684,7419.71963
2018-01-25,Thursday,london,08:00:00,14:29:59,11465.91,11275.0,-190.90999999999983,-0.0166502266283269,5939.568071000001
2018-01-25,Thursday,new_york,14:30:00,20:59:59,11275.0,11251.0,-24.0,-0.0021286031042128,6128.567179
2018-01-26,Friday,tokyo,02:00:00,07:59:59,11280.0,11010.0,-270.0,-0.0239361702127659,5501.636951
2018-01-26,Friday,london,08:00:00,14:29:59,11010.09,10684.98,-325.1100000000006,-0.0295283689779103,7385.065382
2018-01-26,Friday,new_york,14:30:00,20:59:59,10680.0,11026.32,346.3199999999997,0.0324269662921348,5713.773803000001
2018-01-27,Saturday,tokyo,02:00:00,07:59:59,10936.16,11243.68,307.52000000000044,0.0281195593334406,4114.564225
2018-01-27,Saturday,london,08:00:00,14:29:59,11243.68,11081.01,-162.67000000000007,-0.0144676831784611,3689.957469
2018-01-27,Saturday,new_york,14:30:00,20:59:59,11082.8,11549.99,467.1900000000005,0.0421545096906919,5178.115454
2018-01-28,Sunday,tokyo,02:00:00,07:59:59,11518.0,11969.0,451.0,0.0391561034901892,3887.434406
2018-01-28,Sunday,london,08:00:00,14:29:59,11969.0,11800.0,-169.0,-0.0141198095078953,3878.117793
2018-01-28,Sunday,new_york,14:30:00,20:59:59,11787.58,11939.99,152.40999999999983,0.0129297107633628,3577.191259
2018-01-29,Monday,tokyo,02:00:00,07:59:59,11499.63,11318.01,-181.61999999999895,-0.0157935516186171,6041.353625
2018-01-29,Monday,london,08:00:00,14:29:59,11320.0,11410.01,90.01000000000022,0.0079514134275617,5544.848608
2018-01-29,Monday,new_york,14:30:00,20:59:59,11410.04,11298.99,-111.05000000000108,-0.0097326565025189,5161.769983
